run_id	scenario_id	event_type	target_id	COALESCE(g.failure_type,'')	occurred_at	COALESCE(g.details,'')
a0215d249f03a2e3df8da361acd570a6	headget-20260429-030809Z-http-head-200-get-redirect-loop	failure_start	bench-a	http_redirect	2026-04-29 05:04:11.121976	{"rate": 1, "method": "GET", "variant": "loop"}
a0215d249f03a2e3df8da361acd570a6	headget-20260429-030809Z-http-head-200-get-redirect-loop	failure_end	bench-a	http_redirect	2026-04-29 05:14:11.154692	
a0215d249f03a2e3df8da361acd570a6	headget-20260429-030809Z-http-head-200-get-redirect-loop	run_end	bench-a		2026-04-29 05:19:14.453124	{"reason": "adapter_error"}
b82d38d321e174aa0af161f2fa389d60	headget-20260429-030809Z-http-head-200-get-partial	run_start	bench-a		2026-04-29 05:27:14.975342	
b82d38d321e174aa0af161f2fa389d60	headget-20260429-030809Z-http-head-200-get-partial	failure_start	bench-a	http_partial	2026-04-29 05:27:16.728685	{"rate": 1, "method": "GET", "truncate_after_bytes": 100}
b82d38d321e174aa0af161f2fa389d60	headget-20260429-030809Z-http-head-200-get-partial	failure_end	bench-a	http_partial	2026-04-29 05:37:16.827037	
b82d38d321e174aa0af161f2fa389d60	headget-20260429-030809Z-http-head-200-get-partial	run_end	bench-a		2026-04-29 05:42:19.690475	{"reason": "adapter_error"}
bab8f2f126441dc38087e661c13e5b2f	headget-20260429-030809Z-http-head-200-get-503	run_start	bench-a		2026-04-29 05:50:20.421407	
bab8f2f126441dc38087e661c13e5b2f	headget-20260429-030809Z-http-head-200-get-503	failure_start	bench-a	http_method_status	2026-04-29 05:50:22.115287	{"rate": 1, "method": "GET", "status_code": 503}
bab8f2f126441dc38087e661c13e5b2f	headget-20260429-030809Z-http-head-200-get-503	failure_end	bench-a	http_method_status	2026-04-29 06:00:22.242556	
bab8f2f126441dc38087e661c13e5b2f	headget-20260429-030809Z-http-head-200-get-503	run_end	bench-a		2026-04-29 06:05:25.055653	{"reason": "adapter_error"}
9aea589d278929c3982b7562198e8571	headget-20260429-030809Z-http-head-200-get-timeout	run_start	bench-a		2026-04-29 06:13:25.915769	
9aea589d278929c3982b7562198e8571	headget-20260429-030809Z-http-head-200-get-timeout	failure_start	bench-a	http_timeout	2026-04-29 06:13:27.839025	{"rate": 1, "delay": "35s", "phase": "ttfb", "method": "GET"}
9aea589d278929c3982b7562198e8571	headget-20260429-030809Z-http-head-200-get-timeout	failure_end	bench-a	http_timeout	2026-04-29 06:23:27.868239	
9aea589d278929c3982b7562198e8571	headget-20260429-030809Z-http-head-200-get-timeout	run_end	bench-a		2026-04-29 06:28:30.470703	{"reason": "adapter_error"}
093903993b8190fd107850c32e167acd	headget-20260429-030809Z-http-head-405-get-200	run_start	bench-a		2026-04-29 06:36:31.001888	
093903993b8190fd107850c32e167acd	headget-20260429-030809Z-http-head-405-get-200	failure_start	bench-a	http_method_status	2026-04-29 06:36:32.741663	{"rate": 1, "method": "HEAD", "status_code": 405}
093903993b8190fd107850c32e167acd	headget-20260429-030809Z-http-head-405-get-200	failure_end	bench-a	http_method_status	2026-04-29 06:46:32.761456	
093903993b8190fd107850c32e167acd	headget-20260429-030809Z-http-head-405-get-200	run_end	bench-a		2026-04-29 06:51:35.017485	{"reason": "adapter_error"}
4037e8133afd97570d76cb7d86456271	headget-20260429-030809Z-http-head-200-get-partial	run_start	bench-a		2026-04-29 06:59:35.590610	
4037e8133afd97570d76cb7d86456271	headget-20260429-030809Z-http-head-200-get-partial	failure_start	bench-a	http_partial	2026-04-29 06:59:37.571811	{"rate": 1, "method": "GET", "truncate_after_bytes": 100}
4037e8133afd97570d76cb7d86456271	headget-20260429-030809Z-http-head-200-get-partial	failure_end	bench-a	http_partial	2026-04-29 07:09:37.661322	
4037e8133afd97570d76cb7d86456271	headget-20260429-030809Z-http-head-200-get-partial	run_end	bench-a		2026-04-29 07:14:39.721469	{"reason": "adapter_error"}
095688a38590a72406f1efa61e9ec786	headget-20260429-030809Z-http-head-timeout-get-200	run_start	bench-a		2026-04-29 07:22:40.255743	
095688a38590a72406f1efa61e9ec786	headget-20260429-030809Z-http-head-timeout-get-200	failure_start	bench-a	http_timeout	2026-04-29 07:22:42.065745	{"rate": 1, "delay": "35s", "phase": "ttfb", "method": "HEAD"}
095688a38590a72406f1efa61e9ec786	headget-20260429-030809Z-http-head-timeout-get-200	failure_end	bench-a	http_timeout	2026-04-29 07:32:42.096262	
095688a38590a72406f1efa61e9ec786	headget-20260429-030809Z-http-head-timeout-get-200	run_end	bench-a		2026-04-29 07:37:44.590349	{"reason": "adapter_error"}
86382c43907aa3123e9dac744b54d62f	headget-20260429-030809Z-http-head-200-get-redirect-loop	run_start	bench-a		2026-04-29 07:45:45.261819	
86382c43907aa3123e9dac744b54d62f	headget-20260429-030809Z-http-head-200-get-redirect-loop	failure_start	bench-a	http_redirect	2026-04-29 07:45:47.053029	{"rate": 1, "method": "GET", "variant": "loop"}
86382c43907aa3123e9dac744b54d62f	headget-20260429-030809Z-http-head-200-get-redirect-loop	failure_end	bench-a	http_redirect	2026-04-29 07:55:47.148348	
86382c43907aa3123e9dac744b54d62f	headget-20260429-030809Z-http-head-200-get-redirect-loop	run_end	bench-a		2026-04-29 08:00:49.471188	{"reason": "adapter_error"}
769b3c9f8fbf47971ec9d57c9640204b	headget-20260429-030809Z-http-head-200-get-redirect-loop	run_start	bench-a		2026-04-29 08:08:50.031375	
769b3c9f8fbf47971ec9d57c9640204b	headget-20260429-030809Z-http-head-200-get-redirect-loop	failure_start	bench-a	http_redirect	2026-04-29 08:08:53.361205	{"rate": 1, "method": "GET", "variant": "loop"}
769b3c9f8fbf47971ec9d57c9640204b	headget-20260429-030809Z-http-head-200-get-redirect-loop	failure_end	bench-a	http_redirect	2026-04-29 08:18:53.447717	
769b3c9f8fbf47971ec9d57c9640204b	headget-20260429-030809Z-http-head-200-get-redirect-loop	run_end	bench-a		2026-04-29 08:23:55.801936	{"reason": "adapter_error"}
e57c6793604ad0e82a418f3d03e8635a	headget-20260429-030809Z-http-head-405-get-200	run_start	bench-a		2026-04-29 08:31:56.256106	
e57c6793604ad0e82a418f3d03e8635a	headget-20260429-030809Z-http-head-405-get-200	failure_start	bench-a	http_method_status	2026-04-29 08:31:57.965993	{"rate": 1, "method": "HEAD", "status_code": 405}
e57c6793604ad0e82a418f3d03e8635a	headget-20260429-030809Z-http-head-405-get-200	failure_end	bench-a	http_method_status	2026-04-29 08:41:58.067181	
e57c6793604ad0e82a418f3d03e8635a	headget-20260429-030809Z-http-head-405-get-200	run_end	bench-a		2026-04-29 08:47:00.516217	{"reason": "adapter_error"}
77cca9311061200ebe2455b73de6115e	headget-20260429-030809Z-http-head-200-get-partial	run_start	bench-a		2026-04-29 08:55:01.451948	
77cca9311061200ebe2455b73de6115e	headget-20260429-030809Z-http-head-200-get-partial	failure_start	bench-a	http_partial	2026-04-29 08:55:03.385314	{"rate": 1, "method": "GET", "truncate_after_bytes": 100}
77cca9311061200ebe2455b73de6115e	headget-20260429-030809Z-http-head-200-get-partial	failure_end	bench-a	http_partial	2026-04-29 09:05:03.464389	
77cca9311061200ebe2455b73de6115e	headget-20260429-030809Z-http-head-200-get-partial	run_end	bench-a		2026-04-29 09:10:07.555037	{"reason": "adapter_error"}
5daabc2978bc75da0d503b8a9412d289	headget-20260429-030809Z-http-head-200-get-503	run_start	bench-a		2026-04-29 09:18:08.420209	
5daabc2978bc75da0d503b8a9412d289	headget-20260429-030809Z-http-head-200-get-503	failure_start	bench-a	http_method_status	2026-04-29 09:18:09.977715	{"rate": 1, "method": "GET", "status_code": 503}
5daabc2978bc75da0d503b8a9412d289	headget-20260429-030809Z-http-head-200-get-503	failure_end	bench-a	http_method_status	2026-04-29 09:28:10.000856	
5daabc2978bc75da0d503b8a9412d289	headget-20260429-030809Z-http-head-200-get-503	run_end	bench-a		2026-04-29 09:33:13.390674	{"reason": "adapter_error"}
65e790b97c3a96f9cf5e90089c17ef9a	headget-20260429-030809Z-http-head-200-get-timeout	run_start	bench-a		2026-04-29 09:41:13.972771	
65e790b97c3a96f9cf5e90089c17ef9a	headget-20260429-030809Z-http-head-200-get-timeout	failure_start	bench-a	http_timeout	2026-04-29 09:41:15.716572	{"rate": 1, "delay": "35s", "phase": "ttfb", "method": "GET"}
65e790b97c3a96f9cf5e90089c17ef9a	headget-20260429-030809Z-http-head-200-get-timeout	failure_end	bench-a	http_timeout	2026-04-29 09:51:15.735739	
65e790b97c3a96f9cf5e90089c17ef9a	headget-20260429-030809Z-http-head-200-get-timeout	run_end	bench-a		2026-04-29 09:56:18.644416	{"reason": "adapter_error"}
0d395ad8d15110c585539c7f88e6c308	headget-20260429-030809Z-http-head-timeout-get-200	run_start	bench-a		2026-04-29 10:04:19.243336	
0d395ad8d15110c585539c7f88e6c308	headget-20260429-030809Z-http-head-timeout-get-200	failure_start	bench-a	http_timeout	2026-04-29 10:04:21.083807	{"rate": 1, "delay": "35s", "phase": "ttfb", "method": "HEAD"}
0d395ad8d15110c585539c7f88e6c308	headget-20260429-030809Z-http-head-timeout-get-200	failure_end	bench-a	http_timeout	2026-04-29 10:14:21.088471	
0d395ad8d15110c585539c7f88e6c308	headget-20260429-030809Z-http-head-timeout-get-200	run_end	bench-a		2026-04-29 10:19:23.327441	{"reason": "adapter_error"}
